ID,name,LABEL
IDEN192,Telegraph distortion limits,IDEN
IDEN193,Recommendation V.23 modem,IDEN
IDEN194,Bit error rate,IDEN
IDEN195,Table 1/V.53,IDEN
IDEN196,Block error rate,IDEN
IDEN197,error rate for sequences of 511 bits,IDEN
IDEN198,bit error rate,IDEN
IDEN199,Uniform-spectrum random noise,IDEN
IDEN200,Recommendation G.153,IDEN
IDEN201,Impulsive noise,IDEN
IDEN202,Recommendation V.2,IDEN
IDEN203,Recommendation M.1020,IDEN
IDEN204,Recommendation 0.71,IDEN
IDEN205,Note 1,IDEN
IDEN206,ITU-T Recommendation V.54,IDEN
IDEN207,Loop 1,IDEN
IDEN208,Loop 3,IDEN
IDEN209,Loop 2,IDEN
IDEN210,station A,IDEN
IDEN211,DCE B,IDEN
IDEN212,Loop 4,IDEN
IDEN213,Circuit 103,IDEN
IDEN214,Circuit 104,IDEN
IDEN215,circuit 103,IDEN
IDEN216,Circuit 105,IDEN
IDEN217,Circuit 125,IDEN
IDEN218,Circuit 108,IDEN
IDEN219,108/1 or 108/2,IDEN
IDEN220,Circuit 109,IDEN
IDEN221,circuit 105,IDEN
IDEN222,Circuit 107,IDEN
IDEN223,Circuit 115,IDEN
IDEN224,circuit 113,IDEN
IDEN225,Circuit 113,IDEN
IDEN226,circuit 115,IDEN
IDEN227,Circuit 140,IDEN
IDEN228,loop 2,IDEN
IDEN229,circuit 141,IDEN
IDEN230,loop 3,IDEN
IDEN231,Circuit 141,IDEN
IDEN232,Circuit 142,IDEN
IDEN233,DTE A,IDEN
IDEN234,Figure 1/V.54,IDEN
IDEN235,DTE B,IDEN
IDEN236,DCE A,IDEN
IDEN237,loop initiation signal,IDEN
IDEN238,ITU-T Recommendation V.56,IDEN
IDEN239,Table 1/V.56,IDEN
IDEN240,Figure 1 /V.56,IDEN
IDEN241,bit error rate (pS),IDEN
IDEN242,signal-to-noise ratio (S/N),IDEN
IDEN243,CCITT Recommendation Characteristics of special quality international leased circuits with special bandwidth conditioning,IDEN
IDEN244,Rec. M.1020,IDEN
IDEN245,CCITT Recommendation Characteristics of special quality international leased circuits with basic bandwidth conditioning,IDEN
IDEN246,Rec. M.1025,IDEN
IDEN247,ITU-T Recommendation V.56 bis,IDEN
IDEN248,Network Model Coverage (NMC),IDEN
IDEN249,Likelihood Of Occurrence (LOO),IDEN
IDEN250,ANSI TIA TR-30.3,IDEN
IDEN251,ANSI TIA TSB-37A,IDEN
IDEN252,Private Branch Exchange (PBX),IDEN
IDEN253,Signal-to-Noise Ratio (SNR),IDEN
IDEN254,1 kHz Tone to Total Distortion ratio,IDEN
IDEN255,T/TD,IDEN
IDEN256,Test Loop Combination (TLC),IDEN
IDEN257,LOO,IDEN
IDEN258,End-Office-to-End-Office (EO-EO),IDEN
IDEN259,ITU-T SG 14,IDEN
IDEN260,Round-Trip Delay (RTD),IDEN
IDEN261,adaptive differential pulse coded modulation (ADPCM),IDEN
IDEN262,ITU-T Recommendation V.58,IDEN
IDEN263,Recommendation V.58,IDEN
IDEN264,Telecommunications Management Network (TMN),IDEN
IDEN265,Recommendation M.3010,IDEN
IDEN266,Generic Network Information Model,IDEN
IDEN267,Recommendation M.3100,IDEN
IDEN268,Network Elements (NEs),IDEN
IDEN269,Element Manager to Element interface,IDEN
IDEN270,vSeriesDce Managed Object,IDEN
IDEN271,Managed Object Template,IDEN
IDEN272,vSeriesCallControl,IDEN
IDEN273,callControlPkg,IDEN
IDEN274,audioMonitor,IDEN
IDEN275,autoAnswerEnable,IDEN
IDEN276,autoCallEnable,IDEN
IDEN277,autoCallModeSelect,IDEN
IDEN278,autoCallModesSupported,IDEN
IDEN279,autoRestoralEnable,IDEN
IDEN280,availableNumberCapacity,IDEN
IDEN281,blackListingActive,IDEN
IDEN282,callProgressState,IDEN
IDEN283,dceModeActive,IDEN
IDEN284,dceModeSelect,IDEN
IDEN285,dceModesSupported,IDEN
IDEN286,defaultCallAttemptsTimer,IDEN
IDEN287,dialBackupEnable,IDEN
IDEN288,directCallNumber,IDEN
IDEN289,displayCallProgressMessages,IDEN
IDEN290,pauseDuringDialTime,IDEN
IDEN291,ringsBeforeAnswer,IDEN
IDEN292,ITU-T V.59,IDEN
IDEN293,Corrigendum 2,IDEN
IDEN294,SERIES V: DATA COMMUNICATION OVER THE TELEPHONE NETWORK,IDEN
IDEN295,Managed objects for diagnostic information of public switched telephone network connected V-series modem DCEs,IDEN
IDEN296,ITU-T Recommendation V.59,IDEN
IDEN297,ASN.1,IDEN
IDEN298,ITU-T X.680,IDEN
IDEN299,Packed Encoding Rules (PER),IDEN
IDEN300,ASN.1 encoding,IDEN
IDEN301,DTEDCE,IDEN
IDEN302,txFlowControl,IDEN
IDEN303,rxFlowControl,IDEN
IDEN304,protocol,IDEN
IDEN305,txSpeed,IDEN
IDEN306,rxSpeed,IDEN
IDEN307,txThroughput,IDEN
IDEN308,rxThroughput,IDEN
IDEN309,txErrors,IDEN
IDEN310,rxErrors,IDEN
IDEN311,V59String,IDEN
IDEN312,ModeV42,IDEN
IDEN313,2F00,IDEN
IDEN314,protocolNegotiation,IDEN
IDEN315,2F01,IDEN
IDEN316,v42featureNegotiation,IDEN
IDEN317,txFrameSize,IDEN
IDEN318,rxFrameSize,IDEN
IDEN319,txWindow,IDEN
IDEN320,2F05,IDEN
IDEN321,rxWindow,IDEN
IDEN322,2F06,IDEN
IDEN323,linkTimeout,IDEN
IDEN324,framesSentAck,IDEN
IDEN325,framesRetransmitted,IDEN
IDEN326,framesReceivedDiscard,IDEN
IDEN327,ITU-T V.61,IDEN
IDEN328,TELECOMMUNICATION STANDARDIZATION SECTOR OF ITU,IDEN
IDEN329,A simultaneous voice plus data modem,IDEN
IDEN330,General Switched Telephone Network,IDEN
IDEN331,leased point-to-point 2-wire telephone type circuits,IDEN
IDEN332,ITU-T Recommendation V.61 (1996) – Corrigendum 1,IDEN
IDEN333,ITU-T V-SERIES RECOMMENDATIONS,IDEN
IDEN334,General V.1–V.9,IDEN
IDEN335,Interfaces and voiceband modems V.10–V.34,IDEN
IDEN336,V.10,IDEN
IDEN337,V.34,IDEN
IDEN338,Wideband modems V.35–V.39,IDEN
IDEN339,V.35–V.39,IDEN
IDEN340,Error control V.40–V.49,IDEN
IDEN341,V.40–V.49,IDEN
IDEN342,Transmission quality and maintenance V.50–V.59,IDEN
IDEN343,V.50–V.59,IDEN
IDEN344,V.60–V.99,IDEN
IDEN345,V.100–V.199,IDEN
IDEN346,Interface layer specifications for data communication V.200–V.249,IDEN
IDEN347,V.200–V.249,IDEN
IDEN348,V.250,IDEN
IDEN349,V.299,IDEN
IDEN350,Modems on digital circuits V.300–V.399,IDEN
IDEN351,V.300–V.399,IDEN
IDEN352,ITU-T Rec. V.61 (1996)/Cor.1 (01/2005),IDEN
IDEN353,Cor.1 (01/2005),IDEN
IDEN354,ITU-T Rec. V.61 (1996),IDEN
IDEN355,ITU-T Study Group 16 (2005-2008),IDEN
IDEN356,Corrigendum 1 to ITU-T Recommendation V.61 (1996),IDEN
IDEN357,ITU-T Recommendation A.8 procedure,IDEN
IDEN358,ITU-T Recommendation V.7,IDEN
IDEN359,control signals,IDEN
IDEN360,circuit 103 or 104,IDEN
IDEN361,ITU-T V.70,IDEN
IDEN362,H.245,IDEN
IDEN363,G.729 Annex B,IDEN
IDEN364,G.729,IDEN
IDEN365,V.8 bis,IDEN
IDEN366,terminal,IDEN
IDEN367,mode,IDEN
IDEN368,ITU-T V.75,IDEN
IDEN369,ITU-T Recommendation V.75,IDEN
IDEN370,ITU-T Rec. V.75 (1996),IDEN
IDEN371,ISO 13239,IDEN
IDEN372,V.75,IDEN
IDEN373,V.42 bis,IDEN
IDEN374,H.245 codepoints,IDEN
IDEN375,ITU-T Recommendation V.75 (1996),IDEN
IDEN376,V.76,IDEN
IDEN377,N401 timer,IDEN
IDEN378,DLCI values,IDEN
IDEN379,ITU-T Recommendation V.76 (1996),IDEN
IDEN380,Generic multiplexer using V.42 LAPM-based procedures,IDEN
IDEN381,suspend/resume flags,IDEN
IDEN382,generator polynomial x8 + x2 + x + 1,IDEN
IDEN383,generator polynomial x16 + x12 + x5 + 1,IDEN
IDEN384,generator polynomial x32 + x26 + x23 + x22 + x16 + x12 + x11 + x10 + x8 + x7 + x5 + x4 + x2 + x + 1,IDEN
IDEN385,N401,IDEN
IDEN386,DLC-opener,IDEN
IDEN387,remote station,IDEN
IDEN388,ITU-T Recommendation V.8,IDEN
IDEN389,PSTN,IDEN
IDEN390,Call indicator signal (CI),IDEN
IDEN391,Call menu signal (CM),IDEN
IDEN392,Joint menu signal (JM),IDEN
IDEN393,ANSam,IDEN
IDEN394,PCM Modem,IDEN
IDEN395,ITU-T V.9x series of Recommendations,IDEN
IDEN396,ITU-T V.21,IDEN
IDEN397,V.21(L),IDEN
IDEN398,ITU-T V.25,IDEN
IDEN399,ITU-T V.34,IDEN
IDEN400,ITU-T V.90,IDEN
IDEN401,ITU-T V.92,IDEN
IDEN402,Circuit Multiplication Equipments (CMEs),IDEN
IDEN403,ITU-T V.80,IDEN
IDEN404,Amendment 1,IDEN
IDEN405,ITU-T Recommendation V.80,IDEN
IDEN406,Table 10/V.80,IDEN
IDEN407,Additional data signalling rate codes,IDEN
IDEN408,World Telecommunication Standardization Assembly,IDEN
IDEN409,Geneva, 2001,IDEN
IDEN410,Series of ITU-T Recommendations,IDEN
IDEN411,Telecommunication administration,IDEN
IDEN412,Recognized operating agency,IDEN
IDEN413,ITU-T V.8 bis,IDEN
IDEN414,Data Circuit-terminating Equipments (DCEs),IDEN
IDEN415,Data Terminal Equipments (DTEs),IDEN
IDEN416,Public Switched Telephone Network (PSTN),IDEN
IDEN417,Escape Signal (ES),IDEN
IDEN418,Mode Request (MR),IDEN
IDEN419,Capabilities Request (CR),IDEN
IDEN420,6.3,IDEN
IDEN421,Mode Select (MS),IDEN
IDEN422,Capabilities List (CL),IDEN
IDEN423,6.5,IDEN
IDEN424,Capabilities List Request (CLR),IDEN
IDEN425,Acknowledge Message (ACK),IDEN
IDEN426,Negative Acknowledge Message (NAK),IDEN
IDEN427,ITU-T Recommendation V.8 bis,IDEN
IDEN428,PCM Modems,IDEN
IDEN429,V.91,IDEN
IDEN430,V.92,IDEN
IDEN431,ITU-T Recommendation V.90,IDEN
IDEN432,IEC,IDEN
IDEN433,recognized operating agency (ROA),IDEN
IDEN434,ITU-T V.91,IDEN
IDEN435,ITU-T Recommendation V.91,IDEN
IDEN436,8.4.1,IDEN
IDEN437,PHIL,IDEN
IDEN438,DIL,IDEN
IDEN439,peer modem,IDEN
IDEN440,The corrigendum,IDEN
IDEN441,ITU-T Recommendation V.92 (2000),IDEN
IDEN442,Tone A,IDEN
IDEN443,Tone B,IDEN
IDEN444,Tone A phase reversal,IDEN
IDEN445,Tone RT,IDEN
IDEN446,V.42,IDEN
IDEN447,Figure 20/V.92,IDEN
IDEN448,Amendment 1 to V.92,IDEN
IDEN449,ITU-T Recommendation X.1,IDEN
IDEN450,1,IDEN
IDEN451,Recommendations X.3,IDEN
IDEN452,Recommendation X.2,IDEN
IDEN453,Recommendation X.3,IDEN
IDEN454,Recommendation X.5,IDEN
IDEN455,Recommendation X.8,IDEN
IDEN456,Recommendation X.30,IDEN
IDEN457,Recommendation X.4,IDEN
IDEN458,Recommendation V.14,IDEN
IDEN459,Recommendation X.52,IDEN
IDEN460,International Alphabet No. 5,IDEN
IDEN461,International Telegraph Alphabet No. 2,IDEN
IDEN462,ITU-T Recommendation V.251,IDEN
IDEN463,V.25 ter Annex A,IDEN
IDEN464,V.8,IDEN
IDEN465,Recommendation V.8,IDEN
IDEN466,data modem,IDEN
IDEN467,V-Series modems,IDEN
IDEN468,text telephone,IDEN
IDEN469,Recommendation V.18,IDEN
IDEN470,G3 facsimile,IDEN
IDEN471,simple voice telephony,IDEN
IDEN472,analog simultaneous Voice and data,IDEN
IDEN473,digital simultaneous Voice and data,IDEN
IDEN474,multimedia terminal,IDEN
IDEN475,Recommendation H.324,IDEN
IDEN476,hexadecimal octet coding,IDEN
IDEN477,hexadecimal octet sequence,IDEN
IDEN478,<CR> (T.50 0/13) character,IDEN
IDEN479,V.8 signal format,IDEN
IDEN480,CI,IDEN
IDEN481,CM,IDEN
IDEN482,JM,IDEN
IDEN483,V.8 bis signal and message format,IDEN
IDEN484,+A8E,IDEN
IDEN485,<v8o>,IDEN
IDEN486,<v8a>,IDEN
IDEN487,<v8cf>,IDEN
IDEN488,<v8b>,IDEN
IDEN489,<cfrange>,IDEN
IDEN490,<protrange>,IDEN
IDEN491,ITU-T Recommendation V.252,IDEN
IDEN492,V.70 DSVD entity,IDEN
IDEN493,H.324 entity,IDEN
IDEN494,V.76 multiplexer,IDEN
IDEN495,V.70 entity,IDEN
IDEN496,V.75 control unit,IDEN
IDEN497,H.223 multiplexer,IDEN
IDEN498,H.324,IDEN
IDEN499,H.245 control unit,IDEN
IDEN500,FCLASS=17.0,IDEN
IDEN501,FCLASS=18.0,IDEN
IDEN502,V.70 DSVD,IDEN
IDEN503,V.70 DSVD device,IDEN
IDEN504,Class 17.0,IDEN
IDEN505,H.324 terminal,IDEN
IDEN506,Class 18.0,IDEN
IDEN507,Figure 1/V.252,IDEN
IDEN508,V.70 DSVD DCE,IDEN
IDEN509,V.76 multiplexing,IDEN
IDEN510,V.75 control functions,IDEN
IDEN511,H.223 multiplexing,IDEN
IDEN512,H.245 control functions,IDEN
IDEN513,audio and video transducers and codecs,IDEN
IDEN514,data channels,IDEN
IDEN515,H.324 DCE,IDEN
IDEN516,ITU-T V.253,IDEN
IDEN517,Asynchronous DCE AT command set,IDEN
IDEN518,Recommendation V.250,IDEN
IDEN519,V.253,IDEN
IDEN520,V.253-equipped DCE,IDEN
IDEN521,ITU-T Recommendation V.253,IDEN
IDEN522,Section 4,IDEN
IDEN523,Subsection 4.1,IDEN
IDEN524,Subsections 4.1.1 and 4.2.1,IDEN
IDEN525,Section 5,IDEN
IDEN526,Subsection 5.3.2,IDEN
IDEN527,Subsection 6.2,IDEN
IDEN528,Subsection 6.3,IDEN
IDEN529,AT commands,IDEN
IDEN530,Subsection 6.3.1,IDEN
IDEN531,Subsection 6.3.2,IDEN
IDEN532,Subsection 6.3.3,IDEN
IDEN533,Subsection 6.4,IDEN
IDEN534,Subsection 6.4.2,IDEN
IDEN535,ITU-T X.1011,IDEN
IDEN536,SERIES X: DATA NETWORKS, OPEN SYSTEM COMMUNICATIONS AND SECURITY,IDEN
IDEN537,Recommendation ITU-T X.1011,IDEN
IDEN538,ITU-T X-SERIES RECOMMENDATIONS,IDEN
IDEN539,PUBLIC DATA NETWORKS X.1–X.199,IDEN
IDEN540,X.1–X.199,IDEN
IDEN541,OPEN SYSTEMS INTERCONNECTION X.200–X.299,IDEN
IDEN542,X.200–X.299,IDEN
IDEN543,INTERWORKING BETWEEN NETWORKS X.300–X.399,IDEN
IDEN544,X.300–X.399,IDEN
IDEN545,MESSAGE HANDLING SYSTEMS X.400–X.499,IDEN
IDEN546,X.400–X.499,IDEN
IDEN547,DIRECTORY X.500–X.599,IDEN
IDEN548,X.500,IDEN
IDEN549,X.599,IDEN
IDEN550,OSI NETWORKING AND SYSTEM ASPECTS X.600–X.699,IDEN
IDEN551,X.600–X.699,IDEN
IDEN552,OSI MANAGEMENT X.700–X.799,IDEN
IDEN553,X.700–X.799,IDEN
IDEN554,SECURITY X.800–X.849,IDEN
IDEN555,X.800–X.849,IDEN
IDEN556,OSI APPLICATIONS X.850–X.899,IDEN
IDEN557,X.850,IDEN
IDEN558,X.899,IDEN
IDEN559,OPEN DISTRIBUTED PROCESSING X.900–X.999,IDEN
IDEN560,X.900–X.999,IDEN
IDEN561,INFORMATION AND NETWORK SECURITY,IDEN
IDEN562,X.1000–X.1029,IDEN
IDEN563,Network security X.1030–X.1049,IDEN
IDEN564,X.1030–X.1049,IDEN
IDEN565,Security management X.1050–X.1069,IDEN
IDEN566,X.1050–X.1069,IDEN
IDEN567,Telebiometrics X.1080–X.1099,IDEN
IDEN568,X.1080–X.1099,IDEN
IDEN569,SECURE APPLICATIONS AND SERVICES (1),IDEN
IDEN570,Multicast security X.1100–X.1109,IDEN
IDEN571,X.1100–X.1109,IDEN
IDEN572,Home network security X.1110–X.1119,IDEN
IDEN573,X.1110–X.1119,IDEN
IDEN574,Mobile security X.1120–X.1139,IDEN
IDEN575,X.1120–X.1139,IDEN
IDEN576,Web security (1) X.1140–X.1149,IDEN
IDEN577,X.1140–X.1149,IDEN
IDEN578,Application Security (1) X.1150–X.1159,IDEN
IDEN579,X.1150–X.1159,IDEN
IDEN580,Peer-to-peer security X.1160–X.1169,IDEN
IDEN581,X.1160–X.1169,IDEN
IDEN582,Networked ID security X.1170–X.1179,IDEN
IDEN583,X.1170–X.1179,IDEN
IDEN584,IPTV security X.1180–X.1199,IDEN
IDEN585,X.1180–X.1199,IDEN
IDEN586,CYBERSPACE SECURITY,IDEN
IDEN587,Cybersecurity X.1200–X.1229,IDEN
IDEN588,ITU-T X.1031,IDEN
IDEN589,Recommendation ITU-T X.805,IDEN
IDEN590,End users,IDEN
IDEN591,Telecommunications networks,IDEN
IDEN592,end users,IDEN
IDEN593,ITU-T X.805,IDEN
IDEN594,ITU-T Study Group 17,IDEN
IDEN595,Recommendation ITU-T X.1031,IDEN
IDEN596,ITU-T X.1032,IDEN
IDEN597,Telecommunication IP-based network security system (TNSS),IDEN
IDEN598,Security system,IDEN
IDEN599,Information and Communication Technologies (ICT),IDEN
IDEN600,National regulatory authorities,IDEN
IDEN601,Trusted third parties,IDEN
IDEN602,Organizations using telecommunication IP-based network services,IDEN
IDEN603,Security threats,IDEN
IDEN604,ITU-T X.1033,IDEN
IDEN605,Information and Communication Technology (ICT),IDEN
IDEN606,Bearer service,IDEN
IDEN607,Teleservice,IDEN
IDEN608,Individual information service,IDEN
IDEN609,Informationization service,IDEN
IDEN610,Customer Resource Management (CRM),IDEN
IDEN611,Internet Content Provider (ICP),IDEN
IDEN612,Internet Protocol TeleVision (IPTV),IDEN
IDEN613,Quality of Service (QoS),IDEN
IDEN614,Short Message Service (SMS),IDEN
IDEN615,Office Automation (OA),IDEN
IDEN616,E-government,IDEN
IDEN617,E-commerce,IDEN
IDEN618,Digital live,IDEN
IDEN619,Digital entertainment,IDEN
IDEN620,E-health,IDEN
IDEN621,E-education,IDEN
IDEN622,Telephone services,IDEN
IDEN623,ITU-T X.1034,IDEN
IDEN624,Extensible Authentication Protocol (EAP),IDEN
IDEN625,supplicant,IDEN
IDEN626,authentication server,IDEN
IDEN627,AAA protocol,IDEN
IDEN628,EAP message,IDEN
IDEN629,RADIUS,IDEN
IDEN630,Diameter,IDEN
IDEN631,authenticator,IDEN
IDEN632,backend authentication server,IDEN
IDEN633,pair-wise master key,IDEN
IDEN634,temporal key (TK),IDEN
IDEN635,attacker,IDEN
IDEN636,ITU-T X.1035,IDEN
IDEN637,password,IDEN
IDEN638,ITU-T Recommendation X.1035,IDEN
IDEN639,SHA-1,IDEN
IDEN640,b-FIPS 180-2,IDEN
IDEN641,b-TIA 1050,IDEN
IDEN642,NIST,IDEN
IDEN643,SHA-256,IDEN
IDEN644,ITU-T X.1036,IDEN
IDEN645,Network security policy information model (NSPIM),IDEN
IDEN646,Policy Core Information Model (PCIM),IDEN
IDEN647,IETF,IDEN
IDEN648,ITU-T Recommendation X.1036,IDEN
IDEN649,ITU-T X.1037,IDEN
IDEN650,IPv6,IDEN
IDEN651,Internet Protocol version 6,IDEN
IDEN652,IPv4,IDEN
IDEN653,ICMPv6,IDEN
IDEN654,IPv6 addresses,IDEN
IDEN655,Router Advertisement (RA) messages,IDEN
IDEN656,DHCPv6,IDEN
IDEN657,Dynamic Host Configuration Protocol,IDEN
IDEN658,NAT,IDEN
IDEN659,IDS,IDEN
IDEN660,Firewall (FW),IDEN
IDEN661,OSPFv3,IDEN
IDEN662,Open Shortest Path First version 3,IDEN
IDEN663,SEND,IDEN
IDEN664,MLDv2,IDEN
IDEN665,Multicast Listener Discovery Version 2,IDEN
